feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium	Time_c	Time_c	0.014457537366865	0.00276580799697836	500	498	2.86748287076765e-07	4.70446408485318e-07
Megasphaera	Time_c	Time_c	0.0084000324788181	0.001711308469911	500	103	1.37274425194913e-06	2.21750994545628e-06
Muribaculaceae	Time_c	Time_c	-0.0117181179455361	0.00246542229586679	500	460	2.86379090003908e-06	4.5560309773349e-06
Turicibacter	Time_c	Time_c	-0.0216972439220143	0.00462628197177974	500	319	3.8359816922926e-06	6.01161309986154e-06
UCG.003	Time_c	Time_c	-0.0111379848147884	0.0024176347296768	500	496	5.61133687760886e-06	8.6645642963078e-06
Clostridia_UCG.014	Time_c	Time_c	-0.00975225262422674	0.00212790154672072	500	482	6.25533743949829e-06	9.51899175575827e-06
Intestinimonas	Time_c	Time_c	-0.0154800427743761	0.00342507424333385	500	216	8.32293200914464e-06	1.2484398013717e-05
Family_XIII_UCG.001	Time_c	Time_c	0.018098594196925	0.00401785444161028	500	319	8.90353961411884e-06	1.31672064715842e-05
Terrisporobacter	Time_c	Time_c	-0.0159614810438139	0.0035884184701688	500	298	1.14432620522138e-05	1.66880904928117e-05
Intestinibacter	Time_c	Time_c	-0.0133622613878239	0.00305119022911269	500	376	1.54728826860024e-05	2.22555161921952e-05
UCG.002	Time_c	Time_c	0.0081536119720028	0.00187910431799732	500	500	1.84328882112542e-05	2.61547738132661e-05
Clostridium_sensu_stricto_1	Time_c	Time_c	-0.0114185853148228	0.0027045144633247	500	471	3.04306839283816e-05	4.26029574997342e-05
Oscillibacter	Time_c	Time_c	-0.0116945377722611	0.00300987023830917	500	431	0.000120817953633009	0.000166919541203499
Coprococcus	Time_c	Time_c	-0.00486051908729675	0.00129564840067067	500	500	0.000203723800076221	0.00027780518192212
RF39	Time_c	Time_c	-0.011106852077974	0.0029782189377008	500	341	0.000221703668935239	0.000298447246643591
Methanobrevibacter	Time_c	Time_c	0.0108833095005114	0.00294613093090255	500	423	0.000253580835181758	0.000337037818912463
Succinivibrio	Time_c	Time_c	-0.00837867209460289	0.00230846292340835	500	172	0.000323417585326529	0.000424485580741069
Slackia	Time_c	Time_c	0.0144416558320474	0.00399353289768389	500	269	0.000339872195339158	0.000440575068032242
Enterobacter	Time_c	Time_c	0.0117207866994752	0.00364931002135659	500	198	0.00143343253497986	0.00183549288015713
UCG.004	Time_c	Time_c	-0.0113742415762387	0.00363151515738258	500	249	0.00187235782911181	0.00236864544646675
Negativibacillus	Time_c	Time_c	0.0119114791522822	0.00381432694611672	500	230	0.0019307504565442	0.00241343807068025
Dialister	Time_c	Time_c	0.00577374714545955	0.00186888424685405	500	499	0.00215555008119648	0.00266273833559565
Blautia	Time_c	Time_c	-0.00422592753398456	0.00149444618938267	500	499	0.00493975050326134	0.00603109073072606
Tyzzerella	Time_c	Time_c	-0.0123175552168615	0.00443403111980839	500	237	0.0057458512906403	0.00693464810939346
