feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0055	0	520	231	6052	0	0	243	0	0	0	22247	716	487	5	3129	31	13	124	3108	0	7	1753	5	3537	119	173	41	257	0	1175	33	0	577	2402	0	5	121	81	32	3974	0	3	0	187	115	524	20	63	0	0	0	133	137	24	407	478	91	18	0	0	40	0	33	11	259	323	0	368	10	9	747	19	311	994	1852	0	17	358	236	1043	120	5	27	1632	0	1737	20	111	0	1120	768	3	268	27	0	13	478	3643	5	25	6	21	104	190	1640	6
np0056	7	1205	37	762	154	52	67	177	0	4	15185	70	130	4	909	26	11	19	327	670	35	139	3	955	72	27	44	588	21	1356	16	62	348	1431	0	0	20	25	61	3587	3	64	9	98	63	25	8	4	9	4	112	369	13	11	126	929	63	75	0	27	14	0	46	23	2081	128	4	28	25	16	909	1041	325	1311	6920	0	75	1177	48	842	220	8	0	359	1957	683	2	0	2	3414	1217	5	263	100	0	116	1247	103	15	20	12	37	109	41	452	0
np0057	3	1240	0	24981	0	0	1098	0	0	0	5437	2	1490	0	2646	0	0	0	0	0	0	1	7	0	0	3	324	0	0	54	0	0	4485	1276	0	22	0	6	22	302	0	0	195	0	481	0	0	1	551	0	718	533	2629	0	97	117	446	16	420	33	0	0	0	1705	0	0	0	0	197	1236	0	0	44	0	65	0	0	0	13	394	12	0	0	1284	0	3579	0	11	1476	2	3	0	0	0	158	0	186	350	0	0	0	0	0	0	17	0
np0061	0	15	1	986	0	0	288	0	6	0	14057	167	509	11	779	6	0	0	9	0	0	791	0	256	0	0	24	133	0	416	0	0	562	246	0	25	433	0	0	349	3	0	0	0	111	0	1	2	1	0	178	145	2	0	2192	484	40	122	6	0	34	0	22	2	0	29	0	10	3	0	100	13	30	2	20	0	0	0	7	2125	472	2	0	76	0	223	0	0	0	960	786	0	6	7	23	0	60	132	0	0	0	190	15	8	14	0
np0062	81	2239	0	136	37	0	14	37	63	5	2084	0	121	6	1489	11	0	0	65	143	29	71	61	1210	345	23	13	114	1	1379	13	5	1361	2153	1	242	13	5	952	1841	7	3	0	24	39	12	2	9	0	0	352	517	11	18	780	262	84	18	3	0	79	32	24	1	1070	270	0	3	0	2	76	250	19	769	29139	0	11	241	16	97	331	0	0	816	320	90	0	4	7	1063	467	1	48	32	0	37	68	159	3	9	0	0	71	13	139	0
np0063	0	7601	533	6912	4	0	401	0	4	0	163794	1612	1197	0	17749	91	1	522	11722	0	7	5067	0	6543	481	455	194	398	0	3250	47	0	5182	4853	832	3	530	68	79	12178	0	44	3	648	523	804	46	67	8	0	0	2045	164	52	2727	1825	121	76	10	2307	156	0	98	81	1605	1427	2	470	54	173	2222	62	720	4570	9864	0	83	7729	599	5287	548	30	38	13260	0	4395	33	161	8	10391	10269	436	1221	80	0	16	720	7027	0	231	0	1128	177	177	6109	14
np0064	1048	300	3	37	29	0	868	0	14	0	146	0	1669	0	536	25	0	0	22	6	785	6	0	8	0	23	0	286	0	34	0	0	255	325	0	0	0	0	11	577	0	5	0	0	13	12	0	3	0	0	308	26	11	3	5	5	114	2	6	0	0	196	10	1	23	10	0	2	0	0	10	0	52	77	11395	0	0	0	17	0	126	9	0	170	45	126	4	0	0	10	8	0	0	1	3	2	9	99	0	0	0	0	78	5	0	0
np0065	7	370	15	755	42	3	29	53	3	0	5549	200	125	2	2764	0	3	6	68	66	7	161	88	207	20	19	146	420	0	340	6	8	84	1094	0	16	36	10	26	1541	0	7	2	10	63	30	0	8	7	16	34	220	28	3	186	278	50	35	12	0	14	4	168	11	618	88	1	27	15	3	403	126	62	731	9769	0	13	260	85	655	3431	6	0	416	190	287	0	0	0	639	713	3	51	41	1	21	64	68	14	4	0	20	31	48	71	0
np0066	4	286	18	299	12	0	13	48	0	0	3866	10	31	0	116	4	0	5	91	69	0	44	0	254	26	8	10	0	0	161	9	8	68	191	0	1	35	0	10	1029	0	7	0	10	10	6	5	3	3	24	11	44	0	4	24	273	7	25	0	0	0	2	191	0	572	34	0	0	6	0	159	146	63	487	998	0	28	272	5	654	113	0	0	98	767	232	0	0	0	585	324	0	68	48	0	23	55	23	11	0	4	26	20	7	82	0
np0067	0	427	2	196	6	0	12	0	2	0	2155	9	26	1	254	6	0	4	65	0	0	92	0	157	12	12	6	18	3	95	0	0	30	182	0	0	230	0	21	357	0	0	0	0	9	33	2	0	0	0	0	37	3	3	39	68	15	2	0	7	2	0	3	0	29	38	0	32	8	0	131	39	0	26	145	0	0	0	43	160	262	0	0	52	0	311	0	9	3	213	131	0	29	2	0	2	86	220	0	0	0	0	4	8	21	0
