feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Clostridia__UCG_014.1	Time_c	Time_c	-0.00812445052204049	0.00368349069098522	500	201	0.0280169465525304	0.0342107756457551
G__Clostridia__UCG_014	Time_c	Time_c	-0.00412224052246458	0.00190637307082309	500	130	0.0312248636508537	0.0380492668405248
O__Rhodospirillales.3	Time_c	Time_c	-0.00722871426373393	0.00335797652198988	500	195	0.0319814087507203	0.0388909723697031
S__Massiliprevotella__massiliensis.7	Time_c	Time_c	0.00308801960691806	0.00145360725662402	500	336	0.0342935786347746	0.0416170533329606
G__Lachnoclostridium.15	Time_c	Time_c	0.00602864465832451	0.00294894180415737	500	197	0.0416196119094095	0.0504040791771742
C__Bacilli_RF39.11	Time_c	Time_c	-0.00610055072085468	0.00302108108302129	500	157	0.0441661307616217	0.0533786979143527
G__Collinsella	Time_c	Time_c	0.00387506072539724	0.0019228369832135	500	137	0.0445899707447671	0.0537809647146068
G__Phascolarctobacterium.34	Time_c	Time_c	-0.00493435862345476	0.002451579553633	500	251	0.044859706630434	0.0539961030928442
G__Dialister.2	Time_c	Time_c	0.00198645799392945	0.000995242370362326	500	134	0.0466636643100003	0.0560533040796954
G__Prevotellaceae__NK3B31__group.1	Time_c	Time_c	-0.00615421760588538	0.00311604407312007	500	146	0.0490020449857368	0.0587428166056196
G__Prevotella.32	Time_c	Time_c	0.00739157172584009	0.0037518163155546	500	138	0.0495606501184601	0.059292194777348
G__Phascolarctobacterium.35	Time_c	Time_c	-0.00367505120897441	0.00188286575241963	500	293	0.0517032780273954	0.0617305804327085
F__Prevotellaceae.1	Time_c	Time_c	0.0065924580910121	0.00338110351031898	500	74	0.0519475080152468	0.0618971315262316
S__Eubacterium__ramulus	Time_c	Time_c	-0.00584448604482621	0.00309888961321662	500	457	0.060070467078332	0.0714318833869099
G__Prevotella.43	Time_c	Time_c	0.00412067460114365	0.00221545712349568	500	100	0.063675225946624	0.0755663825993068
G__Dialister.5	Time_c	Time_c	-0.00283742471505471	0.00153710231986029	500	185	0.0656885414248689	0.0777994548739429
G__Clostridia__UCG_014.36	Time_c	Time_c	-0.00285199420624537	0.00154577203646413	500	126	0.0658237466362257	0.0778036685240188
G__Phascolarctobacterium.15	Time_c	Time_c	-0.00423523279118276	0.00233559103616866	500	202	0.0705800258009667	0.0832590723520386
G__Blautia.25	Time_c	Time_c	0.00386526410412056	0.0021357324652567	500	488	0.0711282740139826	0.0837386652236329
G__Faecalibacterium.44	Time_c	Time_c	-0.00344636468462798	0.00195121954564485	500	80	0.0781676545271728	0.0918431089971355
G__Prevotella.55	Time_c	Time_c	0.00336985889954823	0.00191572214892937	500	128	0.0793860119136262	0.0930895496844307
G__Rikenellaceae__RC9__gut__group.1	Time_c	Time_c	0.00213917442443193	0.00122492919472755	500	130	0.0815684089137174	0.0954592666693208
G__Collinsella.4	Time_c	Time_c	0.00481320313548825	0.00280906381599945	500	484	0.087457602634396	0.102149097148079
G__Ruminococcus__gauvreauii__group.4	Time_c	Time_c	0.00397770375536912	0.0023497616899365	500	302	0.0913241041383176	0.106454724942299
G__Prevotella.12	Time_c	Time_c	0.00465294504415739	0.00275743081501998	500	330	0.0923562883902652	0.10744599692647
G__Coprococcus.15	Time_c	Time_c	0.00254722189756376	0.00152308375761238	500	146	0.0952796104096508	0.110629174365626
G__Eubacterium__hallii__group.6	Time_c	Time_c	-0.00513143222492702	0.00308694259592571	500	401	0.0972899828865887	0.112741921345047
S__Bacteroides__sp..3	Time_c	Time_c	0.00459738947706022	0.00276808387255498	500	114	0.0975803604935596	0.112857129259675
F__Lachnospiraceae.40	Time_c	Time_c	-0.00504668411439776	0.00304814243236561	500	195	0.0986296952297971	0.113847948985957
G__Lachnospiraceae__UCG_010	Time_c	Time_c	0.00641134024453924	0.003878012007343	500	390	0.0991182131979845	0.114188818713468
G__Allisonella.2	Time_c	Time_c	0.0053511764652808	0.00326112389470417	500	219	0.101658949129507	0.116888013493266
G__Phascolarctobacterium.29	Time_c	Time_c	0.00184746210166281	0.00112828229575886	500	128	0.102385640223809	0.117494977421886
S__Massiliprevotella__massiliensis	Time_c	Time_c	0.00475352995835876	0.00291969378943907	500	237	0.104347453837327	0.119514234918334
G__Muribaculaceae.50	Time_c	Time_c	0.00342109413324352	0.00214961490326223	500	150	0.112343816201461	0.128423975580394
F__Oscillospiraceae_003.11	Time_c	Time_c	-0.00502320562950158	0.00318920299657992	500	206	0.116086667964714	0.132446372137347
G__CAG_873	Time_c	Time_c	-0.0032125722448057	0.00204569274507533	500	139	0.117165826758983	0.133420045500114
G__Muribaculaceae.48	Time_c	Time_c	0.00367451096858872	0.00235760159824616	500	164	0.119941554858841	0.136318190233798
G__Faecalibacterium.2	Time_c	Time_c	-0.00309513325720557	0.00202799646032543	500	152	0.127804640388495	0.144976089193092
G__Prevotella.54	Time_c	Time_c	0.00457905297997841	0.00301085268639298	500	314	0.129142641032302	0.146213220019331
G__Rikenellaceae__RC9__gut__group.3	Time_c	Time_c	0.00129572628767782	0.000854687377544206	500	142	0.130358086624743	0.147307130392396
S__Bacteroides__vulgatus.27	Time_c	Time_c	-0.00294085354595742	0.00195797425975656	500	93	0.133944062472293	0.151070497941079
S__Bacteroides__salyersiae.4	Time_c	Time_c	-0.00266682436693846	0.00177718190635537	500	105	0.134304917431518	0.151188964194338
G__NK4A214__group.7	Time_c	Time_c	-0.00441764537329517	0.00295507972195906	500	215	0.135775258838532	0.152553570291962
G__Christensenellaceae__R_7__group.1	Time_c	Time_c	0.00375940401822092	0.00252389206390724	500	292	0.137191572974733	0.153852409161418
S__Desulfovibrio__piger.5	Time_c	Time_c	-0.00345895287484537	0.00232444803585745	500	149	0.137573779308027	0.153988832520916
S__Desulfovibrio__piger.10	Time_c	Time_c	-0.00361057343720105	0.00243598952213756	500	122	0.139134643450129	0.155441539279823
S__Massiliprevotella__massiliensis.1	Time_c	Time_c	-0.00144584473037736	0.00102196074986107	500	135	0.157966434922885	0.176147477432878
G__Subdoligranulum.7	Time_c	Time_c	0.00392173155647792	0.00285072199088573	500	334	0.169738567111921	0.188918066220613
G__Bifidobacterium.1	Time_c	Time_c	-0.00616152278516174	0.00450095576981505	500	187	0.171840705349938	0.19089822718386
G__Marvinbryantia	Time_c	Time_c	-0.00486510284610559	0.00364204631892108	500	415	0.182421791259345	0.202272567794133
S__human__gut.4	Time_c	Time_c	-0.00293689506361544	0.00220921045145517	500	140	0.18453072726759	0.204227827369187
F__Prevotellaceae.5	Time_c	Time_c	-0.00319002570402584	0.00240180679783991	500	121	0.184929418848028	0.204286516895672
S__Bifidobacterium__angulatum	Time_c	Time_c	0.0033335967696008	0.00254477577267127	500	154	0.191007772496245	0.210607450644181
G__Dialister.1	Time_c	Time_c	-0.00280442301683401	0.00224055136713037	500	219	0.211473704801483	0.232739217016157
S__human__gut.5	Time_c	Time_c	-0.00268924628158445	0.00220122466917402	500	111	0.222588849192627	0.244516746975544
G__Phascolarctobacterium.19	Time_c	Time_c	0.00238535556742735	0.00197738737799373	500	378	0.228457891746255	0.250498356256098
G__Clostridia__UCG_014.7	Time_c	Time_c	-0.00449062881893845	0.00381023828642922	500	273	0.239319120347023	0.261921481713131
G__Ruminococcus.1	Time_c	Time_c	-0.00334088644756479	0.00284854121905384	500	94	0.241605953736914	0.263935524322581
G__Bacillus	Time_c	Time_c	0.00535113226869087	0.00461397197902473	500	256	0.246883551589184	0.269203282267911
