feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0725	0	198	53	4110	0	233	49	439	0	0	27290	210	217	15	940	24	0	0	742	0	8	178	0	100	49	45	17	66	8	858	2	169	186	972	0	129	0	10	57	3140	6	0	44	0	32	0	0	18	9	1	160	340	0	113	556	44	17	120	0	13	0	0	30	407	148	0	83	10	11	425	646	122	347	17	9	0	304	37	605	2331	0	6	432	0	1883	9	12	11	846	571	3	189	38	1	19	520	58	0	8	0	26	41	14	138	0
np0726	0	281	44	437	0	0	70	0	11	0	17214	46	1510	0	1513	14	0	8	968	0	0	1988	487	598	60	118	19	235	0	482	38	0	59	2288	246	65	74	5	70	1817	0	4	0	52	6	60	0	20	3	15	378	29	7	137	17952	1	46	16151	1272	5	0	4809	12	288	522	14	18	18	27	96	15	158	441	1486	0	44	264	107	827	53	19	0	3263	0	200	10	38	0	2780	253	1	425	13	0	0	360	289	1	17	0	75	15	18	3111	0
np0727	0	112	10	138	4	0	51	13	16	0	1464	4	159	1	242	1	0	1	66	0	25	99	185	322	4	0	15	101	0	190	4	4	348	168	1	1	69	12	5	742	0	3	0	0	13	35	1	0	0	31	109	16	0	146	69	7	12	6	0	2	0	238	11	110	19	0	0	1	1	17	462	96	79	3122	0	35	1559	8	111	427	0	0	201	0	52	0	0	0	376	248	3	33	10	0	0	185	40	0	0	0	95	9	2	54	0
np0729	0	107	0	9	7	0	0	0	0	0	651	0	4	0	113	0	0	0	12	9	0	17	0	208	14	1	0	4	0	187	12	0	47	130	0	0	0	0	0	1668	2	0	0	0	0	5	0	0	0	0	115	95	0	169	25	0	0	12	0	5	0	0	3	60	21	0	0	2	0	6	4	15	83	5167	0	0	311	3	0	50	3	0	342	18	94	0	0	2	358	158	0	4	16	0	10	120	103	0	0	0	0	48	0	113	0
np0731	89	10431	493	5662	42	331	230	96	162	17	85864	200	385	55	3967	82	28	63	1701	506	187	623	0	4675	193	130	77	676	62	3419	39	118	958	3427	5	29	109	64	104	7563	0	6	4	60	315	88	29	40	12	15	442	134	42	340	1127	221	59	5	0	35	38	97	68	11841	550	9	134	49	35	3312	5118	634	1785	24918	0	39	1840	142	3277	4737	10	4	1306	2071	3434	21	27	2	2749	3465	1	286	337	0	283	1126	467	95	90	42	702	275	123	444	0
np0732	25	3727	25	2479	29	0	4505	163	15	0	24203	298	253	33	21691	352	4	61	5306	0	7297	1136	0	7226	106	39	246	471	51	3603	0	22	3968	3922	0	69	205	44	166	44015	35	24	7	48	3254	0	15	80	4	429	1429	42	78	14122	1603	411	126	6	21	392	0	38	12	608	2185	11	160	40	25	2598	5136	848	535	204927	1578	9	0	33	527	5157	0	4	2872	0	2258	3	1	3	7970	1657	0	445	663	0	290	128	1782	3	375	1	54	659	112	1073	0
np0738	7	1119	0	167	16	0	12	1	3	0	3091	6	24	0	927	0	0	2	1268	0	14	106	0	367	7	4	5	45	2	279	0	0	503	427	0	11	12	0	59	1497	0	3	0	8	37	0	0	3	0	8	266	4	4	274	459	158	0	14	4	16	0	0	1	77	129	0	13	1	1	160	1492	78	24	51640	534	0	0	0	324	3073	0	0	97	0	134	0	0	0	307	123	0	27	77	0	0	16	97	0	21	0	19	9	5	87	0
np0741	0	115	26	25745	0	1	230	0	27	0	135690	647	27	52	2773	6	65	0	0	0	0	5	123	0	2	7	6	25	87	71	0	0	8859	65	0	44	0	7	110	101	0	0	1063	0	17	1	3	1	4	208	1475	158	0	0	15	0	0	723	0	0	0	0	66	0	420	0	167	1458	35	1170	51	32	5	12	0	0	0	38	6365	73	0	3	83	0	0	0	0	0	23	3228	5	587	0	0	10	12	129	0	6	1	530	0	2	19001	0
np0742	264	2477	0	2103	77	5	543	11	0	0	33589	74	247	14	790	110	0	15	20	0	146	152	0	670	19	28	113	428	2	1871	0	7	210	1479	0	94	0	16	7	14489	14	9	9	271	56	26	0	6	5	3	705	57	5	87	640	146	24	67	0	23	0	36	195	1447	2019	20	19	61	221	1087	1853	422	577	8706	0	30	0	32	175	585	11	5	241	0	1108	0	3	0	2932	2036	0	315	36	2	185	111	1056	1071	43	7	20	31	4	638	0
np0744	0	292	26	741	4	0	24	1180	5	0	3509	10	1360	6	1174	5	6	1	162	0	13	325	44	1114	42	15	50	363	0	554	14	0	191	502	0	10	507	7	14	1665	0	1	0	0	142	27	0	0	0	0	86	13	9	689	398	12	49	12	0	32	0	371	8	656	69	3	0	1	2	57	609	74	38	1098	0	86	1262	54	108	800	2	0	737	0	31	3	11	0	673	66	14	388	9	0	1	614	70	0	1	0	67	96	0	1276	79
