feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F__Flavobacteriaceae.1	Time_c	Time_c	-0.0142820572483082	0.00233997910532283	1071	697	1.60022048029123e-09	2.83481194876518e-09
F__Oscillospiraceae_002.25	Time_c	Time_c	0.00937180996804184	0.00154074246790303	1071	380	1.77194832264514e-09	3.12974304325192e-09
G__Subdoligranulum.11	Time_c	Time_c	-0.00918099478017902	0.00152580210345233	1071	1034	2.68357280241344e-09	4.72593794407322e-09
S__Sutterella__wadsworthensis.2	Time_c	Time_c	-0.0141153825659762	0.00237178653387403	1071	291	3.85865676447362e-09	6.77534731879633e-09
G__Muribaculaceae.27	Time_c	Time_c	-0.0105734976289109	0.00177680157126428	1071	441	3.95947937847971e-09	6.93199175645861e-09
G__Prevotella.42	Time_c	Time_c	0.0188646808823868	0.00317244546272442	1071	790	3.99998652305146e-09	6.98243261480035e-09
G__Prevotella.31	Time_c	Time_c	0.0190583437503043	0.00321794390379383	1071	242	4.59748836742505e-09	8.00204243543077e-09
G__Agathobacter.3	Time_c	Time_c	-0.0102807410473891	0.00174258936683864	1071	1062	5.25077364439623e-09	9.11253449332717e-09
G__Clostridia__UCG_014.31	Time_c	Time_c	-0.0155565764980792	0.00264805034388676	1071	460	6.01546093471338e-09	1.04093628348518e-08
S__Ruminococcus__callidus.2	Time_c	Time_c	-0.0144833834868318	0.00246963307349486	1071	394	6.3358523292304e-09	1.09320920247126e-08
G__Turicibacter.1	Time_c	Time_c	-0.02235124172953	0.00383191474266112	1071	705	7.55491651120096e-09	1.29979399342564e-08
G__Christensenellaceae__R_7__group.3	Time_c	Time_c	-0.0125613990074487	0.00217032074792009	1071	981	1.00450410692076e-08	1.7232441144589e-08
C__Bacilli_RF39.16	Time_c	Time_c	-0.0158303774347774	0.00273661705683115	1071	461	1.01793898936053e-08	1.74128818523851e-08
G__Anaerostipes.3	Time_c	Time_c	-0.0198254079973401	0.0034456931199477	1071	548	1.18551287333811e-08	2.022146243951e-08
G__Roseburia.16	Time_c	Time_c	-0.0127686874983929	0.00221904153833269	1071	327	1.20435390187608e-08	2.04843099549863e-08
G__Muribaculaceae.12	Time_c	Time_c	-0.012484874469383	0.00216860885684177	1071	611	1.21184817949232e-08	2.05532205442305e-08
G__Butyricicoccus.3	Time_c	Time_c	-0.017313652531476	0.0030195887695109	1071	557	1.31473871968358e-08	2.22350995935155e-08
G__Phascolarctobacterium.32	Time_c	Time_c	-0.0088592489163881	0.00155228760872678	1071	416	1.59291801784834e-08	2.68636174196457e-08
G__Prevotella.16	Time_c	Time_c	0.0166133452885891	0.00292384027520881	1071	786	1.8519422748654e-08	3.11439306505534e-08
G__Oscillibacter.7	Time_c	Time_c	-0.0136429841444643	0.0024062181494673	1071	975	1.9057950345122e-08	3.19595403259489e-08
G__Lachnospiraceae__UCG_004.1	Time_c	Time_c	-0.0173115539708705	0.00306988342335329	1071	593	2.29440008073787e-08	3.83685391652804e-08
G__Sutterella.20	Time_c	Time_c	-0.0161939819947926	0.00289176961097492	1071	423	2.85319981437269e-08	4.75798963458239e-08
S__Sutterellaceae__bacterium.1	Time_c	Time_c	-0.0131568817617889	0.00235011748512513	1071	433	2.9191655132908e-08	4.85443401513818e-08
F__Oscillospiraceae_003.1	Time_c	Time_c	-0.0112261751957974	0.00201277296924045	1071	1017	3.31035069020627e-08	5.48966489459207e-08
S__Intestinimonas__butyriciproducens	Time_c	Time_c	-0.0171428100713161	0.00308646642312728	1071	652	3.67532969336511e-08	6.07803830177e-08
S__Bacteroides__ovatus.11	Time_c	Time_c	-0.00940926271249756	0.00169392308232478	1071	413	3.75840976338578e-08	6.19826140536274e-08
G__Colidextribacter.6	Time_c	Time_c	0.0164089273916821	0.00296473075170499	1071	714	4.10696075743664e-08	6.7544230638834e-08
G__Intestinibacter	Time_c	Time_c	-0.0145316169731718	0.00263317923100869	1071	864	4.50933312476947e-08	7.39580185573454e-08
G__Coprococcus.1	Time_c	Time_c	0.00933362737446541	0.0016981875746355	1071	1027	5.10637379456972e-08	8.35206891878938e-08
G__Marvinbryantia.2	Time_c	Time_c	-0.0151433878819679	0.00276778707392605	1071	788	5.76846153046851e-08	9.40921184068223e-08
F__Oscillospiraceae_005.3	Time_c	Time_c	-0.00751150471896412	0.00137361355220316	1071	550	6.07386640911977e-08	9.88037669276431e-08
G__Muribaculaceae.23	Time_c	Time_c	-0.00900924756277824	0.00165693088108856	1071	457	7.14745744697633e-08	1.15951959126219e-07
G__Family__XIII__UCG_001.2	Time_c	Time_c	0.0166633892437489	0.00307156742844004	1071	729	7.51304371048713e-08	1.21552495803816e-07
F__Oscillospiraceae_002.23	Time_c	Time_c	0.0101079087438087	0.00186748028188275	1071	622	8.14753016797363e-08	1.31461500277845e-07
G__Blautia.23	Time_c	Time_c	-0.0101353394340087	0.00187929825576177	1071	1024	9.01957642510313e-08	1.45139814711228e-07
F__Lachnospiraceae.29	Time_c	Time_c	0.0143080728359052	0.00266107008245937	1071	806	9.55226205341826e-08	1.53298399083083e-07
G__Anaerostipes	Time_c	Time_c	-0.0182417524041366	0.00342112416275834	1071	827	1.23104701719996e-07	1.97033530634953e-07
S__Bacteroides__vulgatus.28	Time_c	Time_c	-0.011806588283769	0.00221518553862391	1071	195	1.24598667071757e-07	1.98891455192083e-07
G__Rikenellaceae__RC9__gut__group.10	Time_c	Time_c	0.00823110481734281	0.00155837335256382	1071	731	1.6540035638254e-07	2.63317367361004e-07
G__Muribaculaceae.8	Time_c	Time_c	0.0069178331446804	0.00131520286919994	1071	620	1.85740214763425e-07	2.94911989930225e-07
G__Sutterella.2	Time_c	Time_c	-0.0117989135824945	0.00225154125759032	1071	380	2.01353314228654e-07	3.18853922001343e-07
